"Title","autor","editor","ano","tipo","tema","pdf","URL","mostrar","paywall","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner"
"Investigação e prática: Abordagens interdisciplinares sobre a saúde e o bem-estar das pessoas LGBTI+","Sofia Neves e Mafalda Ferreira (Coordenação)","Associação Plano i",2022,"[""Livro""]","[""Discriminação"",""Saúde"",""Saúde Mental"",""Parentalidade"",""Ensino"",""Bullying""]","wix:document://v1/ugd/c365a0_60ebc47d55f4486f92076b133d6bd5b2.pdf/Investiga%C3%A7%C3%A3o%20e%20pr%C3%A1tica-%20Abordagens%20interdisciplinares%20sobre%20a%20sa%C3%BAde%20e%20o%20bem-estar%20das%20pess.pdf","https://heyzine.com/flip-book/efe51707ad.html",true,,,,,"04f5f84e-b940-4d12-9d29-78ec0de89b16",2025-07-15T13:40:32Z,2025-07-15T13:46:34Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"Recomendação às Instituições de Ensino Superior no âmbito da Lei n.º 38/2018, de 7 de agosto","Ministério da Ciência, Tecnologia e Ensino Superior","Comissão Para a Cidadania e Igualdade de Género",2020,"[""Legislação e Documentos Governamentais""]","[""Legislação"",""Ensino""]","wix:document://v1/ugd/c365a0_5bd0f29ff0de4b2fa4476cc33150ba5c.pdf/ensino_superior.pdf","https://www.cig.gov.pt/wp-content/uploads/2020/05/Recomenda%C3%A7%C3%A3o-%C3%A0s-Institui%C3%A7%C3%B5es-de-Ensino-Superior-no-%C3%A2mbito-da-Lei-n.%C2%BA-38.2018-de-7-de-agosto.pdf",true,,,,,"11679c58-1bae-4c52-b956-deab724aa459",2025-07-15T11:48:05Z,2025-07-15T12:11:26Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"Guia Para Famílias de Pessoas Trans*","Ana Silva","AMPLOS",2021,"[""Livro""]","[""Para aliades"",""Guia"",""Para famílias""]","wix:document://v1/ugd/c365a0_a6b1e0684cb145359209b3f007cb210c.pdf/AMPLOS-Amp_Fam_GuiaTrans_AF_Single+(1).pdf","https://www.amplos.pt/recursos/guias/gvpydfbymrfprzz8izxm5cbdpje4wo",true,,,,,"1d99f02f-e356-4ab6-95e9-054c0957e863",2025-07-15T12:07:17Z,2025-07-15T12:11:26Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"Observatório da Violência no Namoro – Resultados de 2021","Sofia Neves, Ariana Correia, Sofia Peixoto, Sofia Costa, Helena Rocha, Paula Allen, Janete Borges, Ana Duarte a Cláudia Rodrigues","Associação Plano i",2022,"[""Folheto Informativo""]","[""Discriminação"",""Violência na intimidade""]","wix:document://v1/ugd/c365a0_c8beacc01c144b7e8e4b2a4037ff2aa8.pdf/Infografia%20-%20Observat%C3%B3rio%20da%20Viol%C3%AAncia%20da%20Namoro%20-%20Dados%202021.pdf","https://drive.google.com/file/d/1GHo76UZvOLQgQXxzjTisw1iZpBSyLJsS/view",true,,,,,"1ee70dd7-964a-46f3-a3e5-db94d1a16cad",2025-07-15T13:31:57Z,2025-07-15T13:34:59Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"Observatório da Violência no Namoro – Resultados de 2017-2022","Sofia Neves, Ariana Pinto Correia, Helena Rocha, Sofia Costa e Janete Borges","Associação Plano i",2023,"[""Folheto Informativo""]","[""Discriminação"",""Violência na intimidade""]","wix:document://v1/ugd/c365a0_744323223a2a4010b11d74fa64ae908d.pdf/Infografia_ObVN2023.VAtualizada.pdf","https://drive.google.com/file/d/1ls6pls-ch3At7N3Lx7mfNhl-4V6YObOK/view",true,,,,,"1f5a3055-3db6-42a0-84d4-0a3df4ecd239",2025-07-15T13:20:08Z,2025-07-15T13:21:35Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"Bullying: Guia de Boas Práticas","Marina Hintze, Marta Correia, Lourenço Silva, Inês Araújo, Luiza Hardy e
Bárbara Ferreira","Associação Plano i",2022,"[""Livro""]","[""Discriminação"",""Bullying"",""Ensino""]","wix:document://v1/ugd/c365a0_cf7bda28411d4ed2baeeea8a9584a406.pdf/Bullying.pdf","https://heyzine.com/flip-book/8ec561ffef.html#page/2",true,,,,,"22d507b4-4c77-4cbc-a296-b228fc120e9e",2025-07-15T13:48:03Z,2025-07-15T13:49:26Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"Lista de nomes próprios por género","Instituto dos registos e do Notariado","Instituto dos registos e do Notariado",2023,"[""Legislação e Documentos Governamentais""]","[""Legislação""]","wix:document://v1/ugd/c365a0_990ee16f06614664a42148ff49d9f0a2.pdf/Lista%20Nomes%20Pr%C3%B3prios.pdf","https://irn.justica.gov.pt/Portals/33/Regras%20Nome%20Proprio/Lista%20Nomes%20Pr%C3%B3prios.pdf?ver=WNDmmwiSO3uacofjmNoxEQ%3D%3D",true,,,,,"27c7ddba-8e81-43f2-b6fb-9bfe19e62b5c",2025-07-15T11:55:15Z,2025-07-15T12:11:26Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"Programa de Promoção dos Direitos Humanos e da Diversidade – Manual de Formação para Formadores/as e Educadores/as de Infância. Ensino Pré-escolar","Marina Hintze, Luís Pinheiro, Sofia Queirós, Ana Luísa Abreu, Paula Allen e Sofia Neves","Associação Plano i",2020,"[""Livro""]","[""Bullying"",""Guia"",""Ensino""]","wix:document://v1/ugd/c365a0_c136eb4fb75a46a89ad1ccde66f892f3.pdf/Manual%20Pr%C3%A9-escolar-%20GVE.pdf","https://drive.google.com/drive/folders/1JTvSWhSIxYo9dwO6flgx7_Wd2JStbtEC",true,,,,,"349992f9-2258-4629-8284-562e0b7afe2b",2025-07-15T14:14:42Z,2025-07-15T14:16:15Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"""Plano B - Programa de Prevenção do Bullying"": Manual para a Educação de Pares","Ana Luísa Abreu, Inês Vieira, mariana Magalhães e Sofia Queirós","Associação Plano i",2020,"[""Livro""]","[""Discriminação"",""Bullying""]","wix:document://v1/ugd/c365a0_326ca19af7a347e78aab0c31a6de6116.pdf/qwpx.pdf","https://online.fliphtml5.com/tbdah/qwpx/#p=1",true,,,,,"35519145-8ce6-44b1-a6a9-a0edd011829c",2025-07-15T13:57:19Z,2025-07-15T14:01:07Z,"c365a032-5522-4783-9ab7-57896a68bd93"
"Programa de Prevenção do Bullying contra pessoas LGBTI – Manual de Formação para Formadores/as e Docentes. 3º Ciclo","Marina Hintze, Luís Pinheiro, Sofia Queirós, Ana Luísa Abreu, Paula Allen e Sofia Neves","Associação Plano i",2020,"[""Livro""]","[""Bullying"",""Guia"",""Ensino""]","wix:document://v1/ugd/c365a0_46f466313ac642d89e866dbb408ebd55.pdf/Manual%203%C2%BA%20ciclo-%20GVE.pdf","https://drive.google.com/drive/folders/1WukZcJQVvjF26_KOranJwmLRb9yNiHz-",true,,,,,"3ae4fd11-6473-41c3-9b82-c3f37a8d1042",2025-07-15T14:08:05Z,2025-07-15T14:10:20Z,"c365a032-5522-4783-9ab7-57896a68bd93"
